Canonical_SMILES,Standardized_SMILES,Toxicity_Value
C[S+](C)CCC(N)C(=O)O.[Cl-],C[S+](C)CCC(N)C(=O)O,0
COc1ccc(C(=O)N2CCC3(CC2)CCN(c2ccccn2)CC3)cc1,COc1ccc(C(=O)N2CCC3(CC2)CCN(c2ccccn2)CC3)cc1,0
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1.Cl,CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,1
CC(=O)NCCNc1nc(-c2ccc(N(C)C)cc2)nc2ccccc12,CC(=O)NCCNc1nc(-c2ccc(N(C)C)cc2)nc2ccccc12,0
CCOCC(=O)Nc1cc(C(F)(F)F)ccc1Oc1cccc(Br)c1,CCOCC(=O)Nc1cc(C(F)(F)F)ccc1Oc1cccc(Br)c1,1
c1ccc2c(c1)-c1nc3ccccc3cc1[C@H]2N1CCOCC1,c1ccc2c(c1)-c1nc3ccccc3cc1[C@H]2N1CCOCC1,0
C=CCC(NCc1ccco1)c1ccc(OC)cc1,C=CCC(NCc1ccco1)c1ccc(OC)cc1,1
O=C(O)C1CCN(c2ncnc3ccc(-c4ccccc4C(F)(F)F)cc23)CC1,O=C(O)C1CCN(c2ncnc3ccc(-c4ccccc4C(F)(F)F)cc23)CC1,0
OC[C@H]1O[C@@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@H](O)[C@H]1O,OC[C@H]1O[C@@H](n2cnc3c(NCCc4ccccc4)ncnc32)[C@H](O)[C@H]1O,0
O=C(Nc1nnc(C2CC2)s1)C1Cc2ccccc2CN1S(=O)(=O)c1ccccc1F,O=C(Nc1nnc(C2CC2)s1)C1Cc2ccccc2CN1S(=O)(=O)c1ccccc1F,1
NC(=O)C(Cl)Cl,NC(=O)C(Cl)Cl,0
CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccco1)c1ccccc1C(F)(F)F,CCCC[C@@H]1C[C@H]1[C@@H](NC(=O)c1ccco1)c1ccccc1C(F)(F)F,1
COc1ccc(-n2ccnc2SCC(=O)Nc2ccc(OC)cc2OC)cc1,COc1ccc(-n2ccnc2SCC(=O)Nc2ccc(OC)cc2OC)cc1,1
CC(C)(C)OO,CC(C)(C)OO,0
COc1ccc(CCNC(=O)CCN2C(=O)COc3ccc(C)cc32)cc1OC,COc1ccc(CCNC(=O)CCN2C(=O)COc3ccc(C)cc32)cc1OC,1
Cc1oc(/C=N/NC(=O)CN(c2ccccc2Br)S(C)(=O)=O)cc1Br,Cc1oc(/C=N/NC(=O)CN(c2ccccc2Br)S(C)(=O)=O)cc1Br,1
O=S1OCCO1,O=S1OCCO1,0
Nc1cc(C(=O)O)c(O)c(S(=O)(=O)O)c1,Nc1cc(C(=O)O)c(O)c(S(=O)(=O)O)c1,0
COC(=O)CC1C(C)(C)C(=O)C2CC3C4=CC(=O)OC(c5ccoc5)[C@]4(C)CCC3[C@@]1(C)C2=O,COC(=O)CC1C(C)(C)C(=O)C2CC3C4=CC(=O)OC(c5ccoc5)[C@]4(C)CCC3[C@@]1(C)C2=O,1
CNC(=O)C1(C)C=CCN1C(=O)OC,CNC(=O)C1(C)C=CCN1C(=O)OC,0
Cl[Pd]Cl,Cl[Pd]Cl,0
COc1cccc([C@@H]2Oc3ccc(OC)cc3/C(=N/O[C@@H](C)CN3CCCCc4nc(C)c(C)cc43)[C@@H]2O)c1,COc1cccc([C@@H]2Oc3ccc(OC)cc3/C(=N/O[C@@H](C)CN3CCCCc4nc(C)c(C)cc43)[C@@H]2O)c1,1
c1ccc(-c2noc(CSc3nnnn3C3CCCCC3)n2)cc1,c1ccc(-c2noc(CSc3nnnn3C3CCCCC3)n2)cc1,1
COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)[O-].O.[Na+],COc1cccc(OC)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O,1
CC(=O)Oc1c2c(c(CC=C(C)C)c3c1C(=O)C1=CC4CC5C(C)(C)OC(C/C=C(\C)C(=O)O)(C4=O)[C@]15O3)OC(C)(CCC=C(C)C)C=C2,CC(=O)Oc1c2c(c(CC=C(C)C)c3c1C(=O)C1=CC4CC5C(C)(C)OC(C/C=C(\C)C(=O)O)(C4=O)[C@]15O3)OC(C)(CCC=C(C)C)C=C2,1
COc1cccc(/N=C/c2c[nH]nc2O)c1,COc1cccc(/N=C/c2c[nH]nc2O)c1,0
C/C(NCCN1CCOCC1)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,C/C(NCCN1CCOCC1)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,0
COc1ccc(C(=O)NCc2cn3ccccc3n2)cc1,COc1ccc(C(=O)NCc2cn3ccccc3n2)cc1,0
COc1cccc(-c2nnc3sc(-c4ccc(C)cc4)nn23)c1,COc1cccc(-c2nnc3sc(-c4ccc(C)cc4)nn23)c1,0
Nc1ccc(S(N)(=O)=O)cc1,Nc1ccc(S(N)(=O)=O)cc1,0
CCCCNC(=O)NNC(=O)c1ccoc1C,CCCCNC(=O)NNC(=O)c1ccoc1C,0
O=C(NCc1ccc(Cl)cc1)c1cnccn1,O=C(NCc1ccc(Cl)cc1)c1cnccn1,1
CCOC(=O)CNc1c(-c2ccccc2)nc2ccc(Cl)cn12,CCOC(=O)CNc1c(-c2ccccc2)nc2ccc(Cl)cn12,1
CCOC(=O)OCC1OC(CCc2ccccc2)CCC1Oc1ccc(OC)cc1,CCOC(=O)OCC1OC(CCc2ccccc2)CCC1Oc1ccc(OC)cc1,0
CC(C)(C)NSc1nc2ccccc2s1,CC(C)(C)NSc1nc2ccccc2s1,0
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2/C(=N/NC(=O)c2ccccc2)CC[C@@]3(O)[C@H]1C5,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@@H]2/C(=N/NC(=O)c2ccccc2)CC[C@@]3(O)[C@H]1C5,0
C[C@H]1C2=C3C(CC[C@H]4C(OCc5ccc(F)cc5C(F)(F)F)OC[C@](C)([C@@H]34)N(C(=O)OC(C)(C)C)C2)C(CO)C1CO,C[C@H]1C2=C3C(CC[C@H]4C(OCc5ccc(F)cc5C(F)(F)F)OC[C@](C)([C@@H]34)N(C(=O)OC(C)(C)C)C2)C(CO)C1CO,0
O=C(c1ccco1)N1CCC2(CC1)CN(c1ncccn1)C2,O=C(c1ccco1)N1CCC2(CC1)CN(c1ncccn1)C2,0
Cc1ccc(C(C)C)cc1O,Cc1ccc(C(C)C)cc1O,0
CCCCCCCCOC(=O)c1ccc(O)cc1,CCCCCCCCOC(=O)c1ccc(O)cc1,1
c1ccc(NCCSc2nc3ccccc3s2)cc1,c1ccc(NCCSc2nc3ccccc3s2)cc1,1
O=C(O)c1cc(S(=O)(=O)N2CCCCC2)ccc1F,O=C(O)c1cc(S(=O)(=O)N2CCCCC2)ccc1F,0
CCSC(=O)N1CCCCCC1,CCSC(=O)N1CCCCCC1,0
C=CCCCCCCCCCCCCCC,C=CCCCCCCCCCCCCCC,0
COC(=O)c1c(NC(C)=O)sc(Cc2ccccc2)c1C,COC(=O)c1c(NC(C)=O)sc(Cc2ccccc2)c1C,1
CC([C@H](O)c1ccccc1)N(C)C,CC([C@H](O)c1ccccc1)N(C)C,0
COc1cc(/C=N\Nc2ccc([N+](=O)[O-])cc2)ccc1OCC(=O)Nc1ccc(C)c(C)c1,COc1cc(/C=N\Nc2ccc([N+](=O)[O-])cc2)ccc1OCC(=O)Nc1ccc(C)c(C)c1,1
CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,CCCc1c(OCCCOc2ccc(OCC(=O)O)cc2)ccc(C(C)=O)c1O,0
CCCCCCCCS,CCCCCCCCS,0
Cl.NCc1ccc(S(N)(=O)=O)cc1,NCc1ccc(S(N)(=O)=O)cc1,0
CCN(CC)CCOc1ccccc1OC,CCN(CC)CCOc1ccccc1OC,0
Cc1ccccc1OCCNC(=O)c1ccccc1Sc1ccccc1C#N,Cc1ccccc1OCCNC(=O)c1ccccc1Sc1ccccc1C#N,1
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,1
CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1,CC(C)(Cc1c[nH]c2ccc(Cl)cc12)NCCOc1ccccc1OCC1CC1,1
CC1CCC2C(=O)OC(Cc3ccccc3)CN2C1c1ccc(Br)cc1,CC1CCC2C(=O)OC(Cc3ccccc3)CN2C1c1ccc(Br)cc1,1
CCOC(=O)c1cc(C(=O)OCC)cc(-n2cc(O)c(C(=O)OCC)n2)c1,CCOC(=O)c1cc(C(=O)OCC)cc(-n2cc(O)c(C(=O)OCC)n2)c1,1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,1
Cc1cc(Cl)ccc1OCC(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Cc1cc(Cl)ccc1OCC(=O)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0
COc1ccc(CNC(=O)Nc2cccs2)cc1OC,COc1ccc(CNC(=O)Nc2cccs2)cc1OC,1
Cc1ccncc1,Cc1ccncc1,0
COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])[C@@H]1c1ccccc1C(F)(F)F,COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])[C@@H]1c1ccccc1C(F)(F)F,1
COc1ccc(-c2cc(C3CCN(c4cc(Cl)nc(N)n4)CC3)[nH]n2)cc1,COc1ccc(-c2cc(C3CCN(c4cc(Cl)nc(N)n4)CC3)[nH]n2)cc1,1
CCOc1ccccc1OCC,CCOc1ccccc1OCC,0
Cc1noc(C)c1-c1nccc(-n2ccnc2)n1,Cc1noc(C)c1-c1nccc(-n2ccnc2)n1,1
CCC(Sc1nc2nnc(C)c-2c(N)n1-c1cccc(Cl)c1)C(=O)NCCOC,CCC(Sc1nc2nnc(C)c-2c(N)n1-c1cccc(Cl)c1)C(=O)NCCOC,1
COc1ccc(Cc2nnc(NC(=O)c3ccco3)s2)cc1,COc1ccc(Cc2nnc(NC(=O)c3ccco3)s2)cc1,0
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C,0
CC1CCC(NC(=O)c2ccc(CS(=O)(=O)Cc3ccccc3F)o2)CC1,CC1CCC(NC(=O)c2ccc(CS(=O)(=O)Cc3ccccc3F)o2)CC1,1
COc1cccc(N2C(=O)C(CC(=O)Nc3ccccc3)N(C3CCCCC3)C2=O)c1,COc1cccc(N2C(=O)C(CC(=O)Nc3ccccc3)N(C3CCCCC3)C2=O)c1,1
Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,Cc1ccc2c(c1[N+](=O)[O-])C(=O)c1ccccc1C2=O,1
